POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
40192001;20260420;1,4;1;;;10,5;1;245;9;27,2;1;1537;9;18,6;1;18,85;1;7,6;1;8,6;1;0;9;16,7;1;18,9;1;1012,3;1;;;1,7;1;8,8;1;310;9;626;9;4,8;1;270;1;522;9;;;;;;;;;8,4;1;310;9;626;9;40;1;1537;1;97;1;137;1;4;9;423;9;13,4;9;;;70;1;;;2072;9;;;;;;;;;;;;;;;0;9;0;9;1;9;;;;;;;;;;;;;0;9;0;9;;;4,0;9;3,5;9;;;;;;;;;;;;
40192001;20260421;4,8;1;147;9;10,5;1;413;9;28,2;1;1458;9;19,9;1;19,35;1;7,9;9;9,4;9;0;9;17,7;1;19,4;1;1008,8;1;1006,1;9;3,0;1;22,8;1;260;1;2218;9;11,1;1;260;9;2233;9;;;;;;;;;21,1;1;260;9;2218;9;39;1;1503;9;93;1;405;9;6;9;543;9;13,4;9;;;67;1;670;9;2337;9;;;;;83;9;;;;;;;;;0;9;0;9;1;9;;;;;;;;;;;;;0;9;0;9;;;5,0;9;4,0;9;;;;;;;;;;;;
40192001;20260422;0,0;1;10;9;14,1;1;506;9;24,6;1;1149;9;18,3;1;19,35;1;12,7;9;13,5;9;0;9;10,5;1;19,4;1;1012,8;1;1007,5;1;3,8;1;12,7;1;260;1;1146;9;8,6;1;270;1;1131;9;;;;;;;;;;;;;;;51;1;1149;9;98;1;431;9;0;9;597;9;15,8;9;;;76;1;605;9;2309;9;;;;;74;9;;;;;;;;;0;9;0;9;0;9;;;;;;;;;;;0;9;0;9;0;9;;;4,4;9;3,8;9;;;;;;;;;;;;
40192001;20260423;0,0;1;0;9;9,7;1;319;9;24,8;1;1357;9;17,4;1;17,25;1;5,2;9;7,7;9;0;9;15,1;1;17,3;1;1016,8;1;1015,3;1;4,2;1;12,9;1;90;1;1546;9;7,9;1;80;1;1729;9;;;;;;;;;11,5;1;90;1;1546;9;41;1;2138;9;99;1;406;9;0;9;510;9;12,4;9;;;67;1;554;9;2237;9;;;;;68;9;;;;;;;;;0;9;0;9;0;9;;;;;;;;;;;;;0;9;0;9;;;4,7;9;3,5;9;;;;;;;;;;;;
40192001;20260424;0,0;1;6;9;8,7;1;514;9;27,5;1;1556;9;18,3;1;18,10;1;5,3;9;7,9;9;0;9;18,8;1;18,1;1;1016,7;1;1014,9;1;3,2;1;9,7;1;290;1;1735;9;6,8;1;280;1;1718;9;;;;;;;;;8,8;1;290;1;1735;9;36;1;1510;9;89;1;2322;9;199;9;232;9;11,6;9;;;63;1;640;9;2398;9;;;;;78;9;;;;;;;;;0;9;0;9;0;9;;;;;;;;;;;;;0;9;0;9;;;5,1;9;4,1;9;;;;;;;;;;;;
40192001;20260425;0,0;1;0;9;14,8;1;554;9;17,2;1;1458;9;15,6;1;16,00;1;14,7;9;14,8;9;0;9;2,4;1;16,0;1;1020,4;1;1019,4;1;2,9;1;7,7;1;270;1;1235;9;5,3;1;260;1;1243;9;;;;;;;;;7,2;1;270;1;1235;9;75;1;1501;9;94;1;30;9;0;9;1233;9;15,3;9;;;85;1;0;9;476;9;;;;;0;9;;;;;;;;;0;9;0;9;0;9;;;;;;;;;;;0;9;0;9;0;9;;;1,5;9;1,4;9;;;;;;;;;;;;
40192001;20260426;0,0;1;0;9;13,6;1;506;9;21,5;1;1721;9;16,6;1;17,55;1;12,9;9;13,4;9;0;9;7,9;1;17,6;1;1020,7;1;1019,1;1;1,2;1;4,3;1;160;1;1611;9;3,2;1;270;1;1828;9;;;;;;;;;3,8;1;160;1;1636;9;59;1;1723;9;93;1;510;9;0;9;847;9;14,8;9;;;79;1;136;9;1154;9;;;;;16;9;;;;;;;;;0;9;0;9;0;9;;;;;;;;;;;0;9;0;9;0;9;;;2,3;9;2,2;9;;;;;;;;;;;;
40192001;20260427;5,2;1;170;9;11,2;1;531;9;25,8;1;1350;9;18,2;1;18,50;1;7,5;9;10,3;9;0;9;14,6;1;18,5;1;1018,3;1;1016,0;1;2,5;1;7,5;1;250;1;1638;9;5,0;1;270;1;1659;9;;;;;;;;;6,8;1;250;1;1648;9;45;1;1355;9;99;1;600;9;0;9;675;9;14,1;9;;;75;1;545;9;2266;9;;;;;66;9;;;;;;;;;0;9;0;9;1;9;;;;;;;;;;;;;0;9;0;9;;;4,3;9;3,7;9;;;;;;;;;;;;
40246003;20260420;0,2;1;;;8,4;1;232;9;27,5;1;1454;9;17,2;1;17,95;1;;;;;0;9;19,1;1;18,0;1;;;;;1,8;1;8,7;1;330;1;1646;9;4,8;1;330;1;1654;9;;;;;;;;;;;;;;;41;1;1459;9;99;1;15;9;0;9;540;9;13,0;9;;;73;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,6;9;;;;;;;;;;;;
40246003;20260421;3,8;1;;;8,6;1;438;9;29,4;1;1527;9;19,2;1;19,00;1;;;;;0;9;20,8;1;19,0;1;;;;;3,1;1;20,4;1;;;;;;;;;;;;;;;;;;;;;;;;;34;1;1441;9;97;1;418;9;142;9;515;9;12,4;9;;;67;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,9;9;;;;;;;;;;;;
40246003;20260422;0,4;1;;;13,2;1;413;9;22,8;1;947;9;16,6;1;18,00;1;;;;;0;9;9,6;1;18,0;1;;;;;3,2;1;12,6;1;270;1;1203;9;7,2;1;260;1;1022;9;;;;;;;;;11,0;1;270;1;1056;9;56;1;953;9;100;1;419;9;0;9;903;9;15,4;9;;;86;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,4;9;;;;;;;;;;;;
40246003;20260423;0,0;1;;;8,6;1;519;9;25,4;1;1510;9;17,6;1;17,00;1;;;;;0;9;16,8;1;17,0;1;;;;;4,0;1;12,1;1;110;1;1601;9;7,7;1;90;1;1540;9;;;;;;;;;11,5;1;110;1;1149;9;41;1;2130;9;100;1;1;9;0;9;521;9;12,2;9;;;67;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,5;9;;;;;;;;;;;;
40246003;20260424;0,0;1;;;7,8;1;458;9;25,7;1;1253;9;17,0;1;16,75;1;;;;;0;9;17,9;1;16,8;1;;;;;2,8;1;8,4;1;230;1;1355;9;5,4;1;250;1;1401;9;;;;;;;;;7,9;1;230;1;1355;9;37;1;1302;9;96;1;2305;9;47;9;491;9;11,2;9;;;69;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,8;9;;;;;;;;;;;;
40246003;20260425;0,0;1;;;14,2;1;611;9;16,4;1;1337;9;14,8;1;15,30;1;;;;;0;9;2,2;1;15,3;1;;;;;2,2;1;7,3;1;250;1;1215;9;4,7;1;230;1;1119;9;;;;;;;;;6,3;1;260;1;3;9;84;1;1110;9;99;1;2333;9;0;9;1440;9;15,9;9;;;92;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2;9;;;;;;;;;;;;
40246003;20260426;0,0;1;;;13,1;1;255;9;21,0;1;1516;9;15,5;1;17,05;1;;;;;0;9;7,9;1;17,1;1;;;;;1,2;1;4,8;1;270;1;1817;9;2,5;1;240;1;1648;9;;;;;;;;;4,1;1;270;1;1817;9;62;1;1511;9;100;1;435;9;0;9;929;9;15,2;9;;;86;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,3;9;;;;;;;;;;;;
40246003;20260427;1,4;1;;;8,9;1;359;9;25,6;1;1315;9;16,9;1;17,25;1;;;;;0;9;16,7;1;17,3;1;;;;;2,3;1;8,7;1;290;1;1509;9;5,2;1;300;1;1513;9;;;;;;;;;7,9;1;290;1;1506;9;40;1;1318;9;100;1;1;9;2;9;838;9;12,3;9;;;81;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,5;9;;;;;;;;;;;;
